Lew Fields
HansJurgen Muller
Adriane Rimscha
G\"unther Lamprecht
Catherine Hessling
Walter Houston
Frank Campeau
Elle McPherson
Vittorio deSica
Patricia Barry
Geoffrey Horen
Oscar Shaw
Cyril Ring
Oscar Shaw
s a
Donnelly Rhodes
s a
Joby Baker
Zohra Lampert
Bsarbara Barrie
Ethel Grey Terry
Kelly Thordsen
Parley Baer
Jacques Tati
Guy Decomble
Santa Relli
Gladys Cooper
Lesley Ann Warrnen
JeanPiere Zola
Adrienne Servatie
Alain B\'ecourt
Lucien Fr\'egis
Crahan Denton
Jeanette Nolan
Susan Silo
Jacques Tati
Nathalie Pascoud
Michele Rolla
Valentine Camax
Barbara Dennek
Jacqueline Lecomte
Henri Piccoli
Nancy Kovak
Charles Napier
Julia Nickson
s a
s a
s a
s a
s a
s a
s a
Jean Porter
The Wilde~Twins
Kai Taschner
Anette J\"unger
Val Kimer
s a
s a
Bill Paxton
Dana Delaney
s a
s a
Michel Auclair
Pablo Picasso
HenriGeorges Clouzot
Paul Meurisse
Peter vanEyck
Kathy Ireland
s a
George Baker
John Barrie
Chisu Ryu
s a
s a
Burr deBenning
John Malokvich
Dylam McDermott
Marky Mark
Mark Wahlberg
John Boles
Edward vanSloan
Frederick Kerr
Corbin Bernsen
Kevin Spacy
Kent Douglass
Enid Bennett
Frederick Kerr
s a
Ina Hunter
Lilian Bond
John Dudgeon
Joanne WhalleyKilmer
Corbin Bernsen
John Collin
Jack Livingstone
Vernon Gray
Elina Labourdette
Klaus Wennemann
Hubertus Bengsch
Meryl Streeo
Chris Cooper
Cara Seymor
Tilda Swynton
Ron Livingston
Brian Cox
Maggie Gyllenhaal
Alec Guiness
Sidney James
Martin Donovan
John Carol
Gavin Gordon
Douglas Walton
Heather Menzies
Nicholas Hammond
Duane Chase
Angela Cartwright
Debbie Turner
Kym Karath
Alec Guiness
Alec Guiness
Alec Guiness
Alec Guiness
Alec Guiness
Alec Guiness
Alec Guiness
Alec Guiness
Valeria Hobson
Audrey Fildes
George OHara
Christoph Waltz
Gudrun Landgrebe
Anica Dobra
Heio vonStetten
Ann-Kathrin Kramer
s a
x Hagen
x Tauber
s a
s a
Reinhold Kruppa
Eliot Feld
Gus Trikonis
Bill Bramley
Ned Glass
Los Maxwell
Wanda McKay
Armida
Josh Pais
John Witherspoon
s a
Neve Campbell
Vittorio Mezzogiorno
Stegan Glowacz
Freddie Kruger
Heather Langenkamp
Miko Hugher
Alfons Haider
Alan Delon
Estelle Clark
Neve Campbell
Courteney Cox
David Arquette
Matthew Lillard
Marie Drssler
Lawrence Gray
Del Henderson
Jane Winton
Rennee Adoree
Eddie Murphie
Setsuko Hara
Chisu Ryu
Marion Davis
Dell Henderson
Harry Gibbon
Charles Chaplin
Douglas Fairbanks
Elinor Glyn
Elena Shakova
Elena Shiffers
Lolita Davidovich
Jenny Morrison
Ron White
Matthew Walker
Suki Kaiser
Massoumeh Naderi
Zahra Naderi
Ghorba Ali Naderi
Azizeh Mohamadi
Kenneth Tobin
Donald Curtis
Daryl Hannah
Chika Awashima
Rita Johnson
Helena Phillips Evans
J. Kerrigan
Dan Barrett
Phillip Donegan
Adrian Mars
Graim Williams
Dickie Jones
Stefania Sandrelli
Aldo Puglisi
Saro Urzi
Dabney Colman
Doug McKeon
Arye Gross
Barbara Stanwyk
John Boles
Ann Shoemaker
Ruediger Vogler
Hanns Zischler
Gerald Blain
Sam Fuller
Nicholas Ray
Kate Winslett
Carrie Mullan
Bella Riza
s a
Madelaine Carroll
Firmine Richards
Pierre Vernier
Maxime Leroux
Gilles Privat
Muriel Combeau
Catherine Salviat
Sambou Tati
Elisha Cook~jr
Richard Bradford
Samuel Fuller
Lawrence Olivier
Peter vanEyck
Konstantis Shayne
Ralph Manza
Robert Ross
Virginia Gregg
Barbara Blaxley
Percy Helton
Minerva Urcal
Norman Bertold
Tom Fleming
Susan Engel
Patrick Macgee
Erich vonStroheim
 Marjorie Kane
s.a.
s a
Ronald Colby
Sig Rumann
Esther Dale
Frederick Forrest
Michael V. Gazzo
Phil Feldman
William Bowers
Colleen Camp
Ornella Mutti
Susan Tyrell
Judith Drake
Nastassia Kinski
s a
Lina Polito
Nino Bignamini
Lina Polito
Isa Daniela
s a
s a
s a
Tim Robbins
Anna Galiena
Paul Bartel
Peter Stormare
Frances McDormond
s a
s a
Tracy Ullman
Vincent dOnofrio
Lilly Taylor
Luc Thullier
Luc Wilms
Richard Gaines
John Polito
John Turturro
Marcia Gay Harden
Gabriel Byrne
Mara Corday
John Turturro
John Goodman
Philippe Noiret
Jan Rochefort
JeanPierre Marielle
Catherine Roquefort
s a
Ann Ruymen
John Ventantonio
Lucille Benson
Frederick Domin
John Goodman
John Turturro
Gina Gershon
Joe Pantolino
s a
s a
s a
Jaqueline Bisset
Rebecca Shaeffer
Erik Estrada
Richard Baseheart
Carol Lindley
Nelson Mandela
Ozzie Davis
Delroy Lindo
Al Freeman~jr.
Miki Howard
Zelda Harris
Delroy Lindo
Spike Lee
Annabella Sciorra
John Turturro
Frank Vincent
Spike Lee
s a
s a
s a
s a
s a
Vanessa Paradis
Spike Lee
Danny Aiello
Bill Nunn
Giancarlo Esposito
Rosie Perez
John Turturro
Richard Edson
Paul Benjamin
Frankie Faison
Robin Harris
Terence Blanchard
Cynda Williams
Joei Lee
Tracy Camilla Johns
Spike Lee
John Canada Terrell
s a
Nan Wynn
Edward Brophy
Jinx Falkenburg
Betty Davis
Joseph Cotton
Regis Tomey
Moroni Olson
Christy Turlington
Al Lewis
Butch Patrick
Debbie Watson
Richard Dawson
Cliff Norton
Robert Pine
Alec Guiness
Pamela Tiffin
Alexandra Martinez
s a
s a
Viggo Mortensen
David Suchet
Marcia Gay Harden
Alison Elliott
Will Patton
Kieran Mulronet
Gailard Sartan
sa
Georges Colin
sa
sa
sa
sa
Paul Daniels
sa
sa
Stephen Seagal
Tito Guizar
Stephen Seagal
Will Quadflieg
Ivan Desney
Daniel G\'elin
Madelaine Reanaud
Vittorio deSica
Jean Debuncourt
Lia deLea
Laurence Fishburne
Michael Maloney
Nathaniel Parker
Anna Patrick
Gabriele Fezetti
Pier Vaneck
Phil Yarnis
Raymond Guth
s a
s a
Jordan Christopher
Jill OHara
William redield
Corey Allen
Joel McCrae
Arleen Wheelan
ZaSu Pitts
Charles Winniger
George Babier
Deanna Burbin
Charles Buchinsky
George F. Marion
J.C. Nugent
Pierre RichradWilm
s a
s a
John Mack Brown
Louis Jordan
Mady Christians
Marcel Journet
Paul Croset
Daniel G\'elin
Fernand Gravey
Odette Joyeux
Peter Weller
Willard Pugh
Gabriel Damon
Galyn Gorg
Stephen Lee
Ellie Raad
Jennifer Tilley
Bradley Whitford
Larry
Moe
Shemp
Fuzzy Knight
Peggie Castle
Arthur Blake
Paul Marion
Derek deLint
Marc vanUchelen
Monique vandeVen
John Kraaykamp
Raul Raul
Billy Dee Williams
Colm Meaney
Ed Begley~jr
Wendy Crewson
Raymond Singer
Bert Carver
Marius Mayrenet
Robert Hahn~jr.
James Frawley
Andy Garcia
Joan Cusack
Kevin J OConnor
Maury Chaykin
Christian Clemenson
Cadie Huffman
Stephen Tobolowsky
Tom Arnold
Warren Berlin
s a
Susie Cusack
Dan Healy
Margery Jane Ross
John Cusack
Gailard Sartin
Stephen Tobolowsky
Charles napier
Atom Egoyan
Arsinee Khanjian
Ashot Adamian
Mohsen Ramezani
s a
Elham Shari
Elaine Cassidy
Peter McDonald
Arsinee Khanjian
Colm Meaney
Donal OKelly
s a
s a
Bruce Greenwood
Mia Kirshner
Don McKellar
Elias Koteas
Tina Kellegher
Colm Meaney
s a
Bruce Greenwood
Caerthan Banks
Gabrielle Rose
Alberta Watson
Arsinee Khanjian
Lacey J. Dalton
David Allen Coe
Johnny Paycheck
Shinya Tsukamoto
s a
s a
Audrey Tautou
Dennis Christopher
Eve Brent Ashe
Gwenne Gilford
Dana Delaney
John Cusack
Iben Hjejle
Tim Robbins
Todd Louiso
Jack Black
Lilli Taylor
Lisa Bonet
Joelle Carter
Catherine ZetaJones
Joan Cusack
Pyotr Mamonov
Pyotr Zaichenko
Lothaire Bluteau
Billes Pelletier
s a
Bruce Cowling
s a
Constance Dowling
Philip vanZandt
Jason James Richter
s a
Keiko
Billy Zane
Kristy Swanson
John Tenney
Catherine ZetaJones
Smantha Eggar
John Tenney
Patrick McGohannon
Gloria Talbot
Artuhr Shield
Cuba Gooding~jr.
Beverly dAngelo
Henry Czerny
Johnny Morina
Sebastian Spence
Lise Roy
David Hewlett
Greg Thomey
Alain Goulem
Man\`e Garrincha
s a
Jason James Richter
s a
s a
Keiko
Father John Grosner
David Ward
Basil Burton
s a
Clare Bloom
Juliet Stevenson
Rishi Kapoor
s a
Clare Bloom
Juliet Stevenson
Bolek Polivka
Miroslav Donutil
Dagmar Veskrnova
Sarka Vojtkova
Jozef Kroner
Vince Vaughn
Ane Heche
Viggo Mortensen
Matt Damon
Robin Wiiliams
Stellan Skarsgaard
Diane Salinger
John Calvin
Anthony Peck
Colleen Camp
Priscilla Pointer
Mason Gamble
Yaiwalak Chonchanukun
Dennis ORourke
Bernadette Lafont
Francois Lebrun
Isabelle Weingarten
Jaques Renard
Freddie Slack
Rachel McLish
John Enos
Matt Clark
Thomas Guiry
Jon Tenney
Fredric Forrest
s a
Bobby deCico
Gina Hecht
Cheryl Carter
Beck Gonzales
Corki Corman
Pawyer Trollhaus
Ola Ray
Ashley Cox
Dawn Dunlap
Monique Gabrielle
K.C. Winkler
Robbin Young
Peter Eyre
s a
Douglas Fairbanks~jr
Tulio Carminata
Peter Vaughn
Theresa Russell
Rosie ODonnell
Dennis Farina
Miguel Ferrer
Larry B. Scott
s a
s a
s a
Gabriel Byrne
Dermot Mulroney
Anne Demetrio
Ted Healy
Hetty Baynes
Simon Shepherd
Patricia Barry
Barbara Morrison
Denise Conrad
Frank Runyon
Jamie Tirelli
Donald Pleasance
Trevor Eve
Joy Lee
Ariyan Johnson
s a
Nikki D
Cee Asia
Michael Pennington
Clare Bloom
Juliet Stevenson
Ally Sheedy
Fisher Stevens
s a
Ilka Chase
Brigitte Lahaie
Isabelle Solar
Pierre Londiche
Ally Sheedy
Katherine Ross
Ron ONeil
Ludwig Stoessel
Iris Adrian
Robert Foxworth
sa s a
Frantisek
Robert Ames
Monroe Owsley
Vincent Martinez
Rudolf Nureyev
Anthony Dowall
Felicity Kendall
David deKeyser
Alfred Marks
Leonardo DiCaprio
Hal Scardino
Dan Hedaya
Martingale
Lolita Davidovich
Lukas Haas
Kathryn Erbe
s a
Helen Joe Osment
s a
Toni Collette
Oliver Williams
Tigger Moore
Dana Delaney
Peter MacNichol
Chistopher Durang
Sam Buffington
John Laughlin
Joan Cusack
Edward Norton
Edward Norton
Gary Farmer
Paul Sobel
s a
Catherine Oxenberg
Sammi Davis
Peter Capaldi
s a
Gabriel Byrne
Erich vonStroheim
Edward vanSloan
Marguerite Churchill
Erich vonStroheim
Steve Tisch
Arliss Howard
Joan Cusack
Andrei Codrescu
Peter Webb
James Wood
Billy Wilson
Joe Pantolino
Shera Danese
Janet Carroll
Raphael Sbarge
Bruce A. Young
Kevin Anderson
Sarah Partridge
Erich vonStroheim
Matthew Betz
Maude George
Cesare Gravina
George Fawcett
Roy dArcy
Edward Conelly
Sammi Davis
Paul McGann
Christopher Gable
Chisu Ryu
s a
s a
Samantha Mathis
Howie Long
Delroy Lindo
Kurtwood Smith
Frank Whaley
JeanClaude vanDamme
Nicholas Cage
Nicholas Cage
Joan Allen
Gina Gershon
Nick Cassavetes
James Wooden
s a
Alex Minotis
Eric Dare
Paul Whitthorne
M.Emmett Walsh
Leah Shea
s a
s a
s a
Badi Uzzama
Johnny Depp
Laura Harrington
Leonardo DiCaprio
Darlene Cates
Juliette Lewis
John C. Reilly
Allison Jones
Carl Lumbly
Lorraine Toussaint
Bill Cobbs
George baker
Juliette Binoche
Judy Dench
Alfred Molina
Johnny Depp
Victoire Thivisol
Peter Stormare
Carrie-Anne Moss
Paul Butler
Mary Alice
Harry Glover
Richard Brooks
Carol Lumbly
Ethel Ayler
Sheryl Lee Ralph
Davis Roberts
Sy Richardson
Devaughn Walter Nixon
Jimmy Witherspoon
McGuire
Peter Bourne
Georgy Ganz
Philippe Leroy
Mark Michel
Jean Keraudy
Michel Constantine
Tim OKelley
Peter Bogdanovich
Nancy Hsueh
Mike Farrell
Sandor Eles
Peter Jeffrey
Derek Godfrey
Ellen Bursteyn
Sharon Taggart
Jane Hitchcock
D.W. Griffith
Gabriel Gabrio
Line Noro
Lucas Gridoux
Ethel Grandlin
Virginia Powell
Larry Pine
s a
Mary Miles
William Fairbanks
Chief Big Tree
Daryl Hannah
s a
s a
Richie Coster
s a
s a
s a
s a
Deborah Unger
Pam Tyson
Roger Pigaut
Claire Maffei
No\"el Roquevert
G\'erard Oury
Charles Cros
s a
Anne Poivre
Kyoko Kishida
Tsutoma Yamazaki
So Yamamamura
Charles S. Dutton
Paul mcGann
Brian Glover
Ralph Brown
Danny Webb
Christopher John Fields
Rose Alba
Derek Aylward
Edgar K. Bruce
Gilly Grant
Cathy Howard
Hugh Latimer
Julie May
Nosher Powell
Vic Wise
Anne Schaefer
Fred Huntley
Douglas MacLean
Emory Johnson
June Prentis
Jean Prentis
Brigitte Aubert
s a
s a
Nicole Courcel
s a
Pierre Trabaud
s a
Pernard Lajarrige
Rex Stewart
Virginia Madsen
Kate Hodge
Erich Anderson
Patricia Healey
Roscoe Fattie Arbuckle
Mabel Norman
Lili Taylor
Christian Bale
William Dafoe
s a
Reese Witherspoon
Cloe Sevigny
Samantha Mathis
Cara Seymor
Florinda Bolkan
Gaby Basset
Daniel Cauchy
Marilyn Buferd
Ren\'e Dary
Dora Doll
Raymond Bussieres
Jean Galland
Elina Labourdette
Natalie Moorhead
Edward Brophy
Cecelia Parker
s a
Jeanettte MacDonald
George Regas
David Nivens
Judd Holgren
Aline Towne
s a
s a
Alan Marshall
Matthew Barney
Matthew Barney
Matthew Barney
Claudette Cobert
Pen\'elope Cruise
Jason Lee
Tristram Coffin
Mae Clark
s a
s a
Manuael Aranguez
Dorothee Berryman
Monique Lepage
Karl Swenson
David Opatshu
Carl Betz
Linda Watkins
Mike Ragan
Christopher Neame
Stephanie Beecham
Cecelia Parker
Sig Rumann
David Collings
Alec Guiness
Kenneth Moore
Edith Evans
Paddy Stone
Philip Merryvale
Matthew Boulton
Andrew Cruikshank
Lili Darvas
Henry Morgan
Aline McMahon
Edgar Buchanan
Ethel waters
Dennis Hooey
Michael Constantine
Alan Hale~jr
Shelly Winters
Angela Cartwright
Lily Bouwmeester
Eduard Verkade
Johann deMeester
Luis Alberni
Esther Dale
Alec Guiness
Lily Bouwmeester
Rini Otte
Max Croiset
John Matshikiza
Jennifer Aniston
Maxine Bahns
Edward Burns
Mike McGlone
s a
Leslie Mann
Mark Hammil
Amanda Wyss
Apollonia
s a
Bionnie Ebsen
Marilyn Tvilla
Stella Pacific
Hugo Weaving
Genevieve Picot
Russell Crowe
Heather Mitchell
Jeffrey Walker
Fran Gallacher
Frankie J. Holden
Daniel Pollock
Saskia post
Cliff Ellen
Chazz Palminteri
Robert deNirto
Frank Capra
Lillo Brancato
Taral Hicks
Clem Caserta
Dave Salerno
John Fielder
Colin Firth
Ken Anderson
Roy Baker
Robert Flemyng
June Whitfield
Bernard Archard
Daniel Sarky
Laura Gamser
Cris Avram
Karin Schubert
Matt Damon
Franka Potente
Tommy Dorsey
Andrea Ferreol
Volker Spengler
Klaus L\"owitsch
Berhard Wicki
Klaus Lowitsch
Ivan Deney
Gottfried John
Eddie Constantine
Volker Spengler
Bulle Ogier
Corey Feldman
Bojesse Christopher
Christy Thom
Donald B. Borders
Brigitte Mira
Margit Carstensen
Andrea Schroeber
Ulli Lommel
Ana Karina
Macha Meril
Roddy McDowell
Diane Sayer
Terese Wright
sa
sa

sa
sa
sa
Glen Berry
Scott Neal
s a
Barbara Stanwyk
Jane Cowl
Noah Emmerich
Mira Sorvino
Lauren Holly
Rosie ODonnell
Max Perlich
Martha Plimpton
Mikhail Baryshnikov
Isabella Rosselini
Jerzy Skolimowski
T.C. Jones
Louise latham
Swoosie Kurtz
Dennis Leary
Colm Meany
Ian Hart
Billy Crudup
Warwick Davis
Lola albright
Toni Plana
Martin Lawrence
Roddy mcDowell
Efrem Zimbalist~jr
Phil Browne
Gary Cockrell
Patricia Cutts
Olivia deHavillan
Ben Blue
Kirsten Flagstaff
Tito Guizar
Shep Fields
Peter Chatel
Karlheinz Boehm
Adrian Hoven
Elaine Barrie
Virginia Obrien
Brigitte Mira
El Hedi Ben Salem
Barbara Valentin
Wolfgang Schenck
Karlheinz Boehm
Ulli Lommel
KarlHeinz Boehm
Ursula Straetz
Irm Herrmann
Margit Carstensen
Eva Mattes
Warren Baxter
Arline Judge
Fats Waller
Mimi Miyaki
Paula Price
Stacey Nichols
Sharise
Bianca Trump
Eric Price
Jake Steed
Nick E.
T.T. Boy
Sean Michaels
Cal Jammer
Judith Godreche
s a
s a
s a
Sandra Lynn
Ric Marlowe
Stephen Long
Alexandro Jodorowsky
s a
s a
s a
s a
s a
s a
s a
Mary Phillips
Don Loper
Eiji Okada
Sandra Church
Jocelyn Brando
Kukrit Pramoj
s a
s a
B.G.
Kenneth Moore
Taine Ely
James Hayter
Lolita Davidovich
Jonathan Banks
Viggo Mortensen
Dan Hedaya
s a
s a
Elena Sofonova
Pina Cei
Vsevolod Larionov
Ning Jing
s a
Freda Dowie
Pete Postlewhite
Angela Walsh
Dean Williams
Barbara Stanwyk
Karl Heinz
Rosel Zech
Hilmar Thate
Annemarie D\"uringer
Doris Schade
Cornelia Froeboess
Cindi Wood
Logan Ramsey
Jack Alexander
Michael Sarrazani
Govinda
Karisma
Kader Khan
Paresh Rawal
Jason Schwartzman
Olivia Williams
Luke Wilson
s a
Lucille Bremer
Mary nash
Virginia Obrien
Manuel Ojeda
Mathiau Kassovitz
Julie Mauduech
Hubert Kounde
Al Lewis
David L. Lander
Harry Northrup
Reed Haley
Stuart W
Joen Rodgers
Frank Shannon
s a
Richard Alexander
Donald Kerr
Mantague Shaw
Beatrice Roberts
Christopher Lord
Claudia Wells
Margaret Rutherford
Margaret Rutherford
s a
s a
Margaret Rutherford
Charles tingwell
Muriel Pavlov
Gerald Cross
Conrad Phillips
Marion Byron
Maly Delschaft
Warwick Ward
Margaret Rutherford
Ukele Ike
Gene Lyons
s a
Madlyn Rgue
Gustav vonSeyfferlitz
Samuel Hinds
Gayle Hunnicutt
s a
Shannon Dougherty
Elenora Duse
Febo Mari
Carol Hughes
Frank Shannon
Roland Drew
Donald Kerr
Mantague Shaw
Beatrice Roberts
Eve Olivietti
Joseph Schildlraut
Otis Harlan
Emily Fitzroy
Elsie Bartlett
Jack MacDonald
Neely Edwards
Jane LaVerne
Tess Gardella
Jules Bledsoe
Florenz Ziegfeld
Carl Laemmle
Si Han
Hu Jun
Constantine Romanoff
Fabrizio Mione
Pu Cun Yin
s a
s a
Joseph C. Phillips
Tommy Davidson
David Marshall Grant
Anne Marie Johnson
Larence Dane
Stephen Seagal
Stephen Seagal
Stephen Seagal
Percy Marmount
Eugene Palette
William Orlamond
Tom Kennedy
Josephine Orwell
Kalla Pasha
Lon Poff
Martha Plimpton
Kevin Anderson
s a
Charles grapwin
Terry
Gus Wayne
Charley Becker
Meinhardt Raabe
Keefe Brasselle
Marllyn Erskine
Alex Gerry
William Forrest
Will Rogers jr.
Barbara Stanwyk
Gladys Cooper
Ilka Chase
Charlie Schlatter
Swoosie Kurtz
Jane Darnell
Sidney Howard
Goetz George
Uwe Ochsenknecht
Mariana Hill
Jimmy Gleason
Don Defoe
Ted deCorsica
Xavier Cugat
Georgr Zucco
s a
Anne Kimbell
Chris George
Glenn Corbett
Lisa Montell
Emmanuel Schotte
Severine
Juliette Binoche
Denis Lavant
David Douche
s a
s a
Coleen Gray
Anthony caruso
Myron Healey
John Mansfield
Douglas Fairbanks
Denis Lavant
s a
Juliette Binoche
Athole Fleming
Paul Graetz
Park Jong Soo
George Robey
s a
Bruce Davidson
Malcolm McLaren
Sid Viscious
Nancy Spungen
Leopold Kozlowski
Leopold Kozlowski
Itzak Perlman
Cedric Harwicke
Dimitrje Vosnov
s a
s a
s a
Lazar Ristovski
sa
Barbara Stanwyk
Maria Dea
Francois Perier
Edouard Dermithe
Judith Light
Johnny Golocki
s a
s a
s a
s a
s a
Grace Zabrieskie
Lon Chaney~jr
Chic Sale
Jean Cocteau
Edouard Dermithe
Francois Perier
Henri Cremieux
Pablo Picasso
Barbara Pepper
Lee tracy
Ted Healy
Ivan Lebedeff
C.Auibrey Smith
Ted Healy
Mira Sorvino
Robert Downey~jr
Elisabeth Shue
Teri Hatcher
Garry Marshall
Nicolai Chersakov
Angela Baddeley
Dan Dailey
Henry ONeil
Ofelia Medina
Juan Jose Gurrola
JeanPierre Marielle
Edward Herrman
Andy Williams
Jennifer Lopez a
Ralph Fiennes
Tyler Posy
sa
Priscilla Lopez
Chris Eigemann
Saundra McClain
Angel Avilea
Seidy Lopez
Jacob Vargas
Robert Downey~jr
s a
Nick Thelis
s a
Rupert Everett
Stanley Tucci
Christian Bale
David Strathairn
Ione Skye
Faraizu Baik
Bonnie Bedalia
Shawn Hatosy
Corbin Allred
Victoria Thomas
Caroline Aaron
John Diehl
Heather deLoach
Eileen Ryan
Ashley Johnson
Ray Beck
Heather McComb
Michael Milchan
Gong Li
Reuben Blades
Michael Hui
Maggie Cheung
Lou Reed
John Lutie
Jim Jarmusch
Robert Barat
June MacCloy
Heather Graham
Natasha Gregson Warner
Jack Palence
Monica Calhoun
Georges Aquilon
Darron Flagg
G.Smokey Carpbod
Ronald Lee Jarro
Alan S. Craig
Christine Kaufmann
Giancarlo Esposito
Kobe Zunga, Stockard Channing
Harold Perrineau~jr.
Forest
Victor Argo.
Mary Ward
Pierre Batcheff
Simone Mateuil
Salvador Dali
Luis Bunuel
Kieu Chinh
MingNa Wen
s a
Tamlyn Tomita
Vu May
Tsai Chin
Lauren Tom
Rosalind Chao
Janet Yang
Yu Fei Hong
Russell Wong
Gaston Morlot
Lya Lys
Max Ernst
Pierre Pr\'evert
Jaques Brunius
kd. Laing
Rosel Zech
Loretta Devine
Lela Rochon
The Ritz~Brothers
Romane Bohringer
Elena Safonova
Helen Westlet
Robert Downey~jr
Yuji Okumoto
Tom Bower
Kurtwood Smith
Margaret Colin
Miguel Fernandes
John Snyder
Annabelle
J. Edward Bromberg
Sig Rumann
Terry OQuinn
Jill Schoelen
Shelley Hack
Dan Hedaya
Patrick Bergin
Kevin Anderson
Lila Lee
Walter Heirs
Arthur Edmund Carewe
Stephen Collins
Bruce Altman
Maddie Corman
George Couloris
Theresa Russell
Jeff Fahey
Leelee Sobieskie
s a
s a
s a
Sandra Locke
Robert Townsend
John Witherspoon
Pauline Moore
Thomas beck
Mady Christians
Sig Rumann
Marcia Mae
Didier Bexace
Simon delaBrosse
Nathalie Cardone
Robert Fraser
Sergie Mezhinsky
Charles Heslop
s a
s a
Bob Cummins
s a
s a
s a
s a
Pedro deCordoba
Edward vanSloan
Chris Robinson
Larry Simms
s a
Irving Bacon
Warren Williams
Ellen drew
Thomas McCarthy
Jeffrey Nordling
MaryLouise Parker
Edward Herrman
s a
John Eldridge
Stanley Smith
Gus Shy
Mary Lawlor
Dorothy McNutty
Artur Franz
Wally Cassell
Richard Jaecker
Stephen Collins
Daryl Hannah
Mireille Dac
sa
Ish Kabibble
Ginny Simms
Dee Snider
s a
Tony Azito
s a
s a
Charles `Bud' Tingwell
Bruce Myles
Dennis Miller
Neil Fitzpatrick
Theu Boermans
Anneke Blok
Snead Cusack
s a
s a
s a
Philip Jackson
Phil Daniels
Phil Daniels
Nikolai Pastukhov
Leslie Nielsn
Kelly Lynch
Will Smith
Eric Thal
Heather Graham
James Belushi
Michael Beach
s a
William Hutt
Martha Henry
Jim Abbott
Peggy Stuart
Charles Gordon
Elodie Bouchez
Natasha Regnier
Patrick Mercado
Jo Fredo
Gregoire Colin
Jurgen Vogel
Kai Wiesinger
Gedeon burkhard
Tim Robbins
s a
sa
sa
Stephen Fry
Steve Gutenberg
sa
Catherine Quinlan
s a
s a
s a
s a
Perla Walter
Benny Wills
s a
Ruth Storey
Jaques Weber
s a
Emile Genest
Sharan Farrell
Michael King
Charlotte Knight
Frankie Darro
Karl Lukas
Syl Lamont
And Romano
Charles E. Perry
Chuck Hicks
Bruce Dushman
John gavin
s a
Linda Christian
Oliva NewtonJohn
John Farrar
Ettore Garofolo
Franco Citti
s a
sa s a
Ricard long
MaryLouise Parker
Ralph Maccio
William Styron
Whoppi Goldberg
Arthur Penn
Alan Rickman
George Foreman
Joseph Mobuto
Don King
B.B. King
Spike Lee
Norman Mailer
George Plimpton
Thomas Hauser
Evelyn Kraft
Lee Hassen
Keanu Reeves
Don King
Al dAmato
Sue Lloyd
Doug Fisher
Walter Cotell
Tony Allyn
Lee Phillips
Les Tremaye
Ann Stanton
Joyce Bryant
Hal E. Chester
Edmund Haskin
John Dennis
Bert Rensen
Karl Lukas
Ada Stewart
Phil Gordon
Clegg Hoyt
Susan Harrison
John Emery
Jo vanFleet
Alice Frost
Frankie Darro
Linda Lawson
Pat Harrington~jr.
Will Kuluva
Leonard Weinrib
Edmon Ryan
William Sharon
Will Kuluva
Wolfe Barzell
Monica May
Mary Munday
Ken Patterson
Florence McMichael
Harry Swooger
Don Keefer
Leonardo DiCaprio
Robert Carlyle
Virginie Ledoyen
Guillaune Canet
Paul McAllister
Arthur Houseman
Ann Penningtin
Ewan McGregor
Ewen Bremner
Jonny Lee Miller
Robert Carlyle
Kelly Macdonald
Shirley Henderson
Thomas vonBr\"omssen
Leif Ericson
Christina Garvin
Ralph Carlsson
Viveca Dahlen
Ewan McGregor
Delroy Lindo
Dan Hedaya
Robert Sacchi
Misty Rowe
Franco Citti
Danny Aiello
Enrique Irazoqui
Susanna Pasolini
Mario Socrate
Billy Zane
Frank Maxwell
Richard Garland
Pamela Duncan
Russell Johnson
Edmund Hashim
Jack Ging
Brian Hutton
Claudia Cravey
Peggy McKay
s a
Katherine Crawford
Randy Boone
James Anderson
Jesse Jacobs
Russ Conway
Karl Lukas
Rose Montiel
George Clarke
Joby Baker
Bernard Kates
King Calder
Bob Karnes
Harry Swoger
Ted Newton
Richard Gaines
Lola Allbright
Pat Breslin
Duke Howard
Burt Brinckerhoff
Douglas Fairbanks
s a
s a
Enid Bennett
Sachiko Hidari
Alizia Gur
Jan Murray
Michael Padilla~jr.
Chack Berry
Johnny Johnson
Keith Richards
Etta James
Robert Cray
Julian Lennon
s a
Peter Weller
Nicholas Campbell
Michael Zelniker
s a
Coleen Gray
Genvieve Bujold
Bernard Menez
Daniel Ceccaldi
sa
Gail Strickland
Richard Romanus
Cliff deYoung
Andr\'e Gregory
jean Smart
Grainger Hines
Richard Hamilton
Joel Brooks
Mary Carver
Mario VanPeebles
Victoria Jackson
Stephen Shellen
Jerry Levine
Mary Gross
Andrew Dice Clay
s a
Herbert Edelman
Jude Law
Christopher Eccleston
Fred McCarren
Miriam Flynn
Marian Nixan
James Spader
Elias Koteas
Deborah Kara Unger
s a
s a
Hume Cronin
s a
s a
s a
s a
s a
Artie Lang
Mary Shelton
Gary Cromwell
s a
s a
s a
Marsha Feher
s a
s a
s a
s a
s a
s a
s a
s a
s a
Donald Dillaway
Marieke Heebink
Mark Rietman
Arend-Andre van Noord
Meriet Kleiser
s a
Vernel Bagneris
Tommy Rall
Robert Fitch
Jay Gardner
Carl Goodner
Berry Kroeger
Melvil Poupaud
Norman Bristow
John Cording
Brian Cox
sa
sa
sa
Carl Schenstrom
Clara Wieth
Robert Dinesen
Julie Hendriksen
Julie Warner
Bernard Hughes
